['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['Nie', 'Nie', 10, 10, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
['햚o', '햚o', 5, 5, '']
